Timestamp;ND;I014_ND;TSD;I014_TSD;ENGLAND_WALES_DEMAND;EMBEDDED_WIND_GENERATION;EMBEDDED_WIND_CAPACITY;EMBEDDED_SOLAR_GENERATION;EMBEDDED_SOLAR_CAPACITY
2015-01-01 00:00:00.000;28726;28787;29490;29552;26351;1866;4039;0;5994
2015-01-01 00:30:00.000;29391;29312;30135;30057;27001;1816;4039;0;5994
2015-01-01 01:00:00.000;29231;29077;30448;30363;26874;1816;4039;0;5994
2015-01-01 01:30:00.000;28095;27898;29381;29202;25824;1878;4039;0;5994
2015-01-01 02:00:00.000;26896;26730;28667;28521;24752;1878;4039;0;5994
2015-01-01 02:30:00.000;26355;26184;28175;28012;24236;1859;4039;0;5994
2015-01-01 03:00:00.000;25319;25136;27248;27390;23239;1859;4039;0;5994
2015-01-01 03:30:00.000;24237;24075;26366;26561;22270;1880;4039;0;5994
2015-01-01 04:00:00.000;23388;23334;26473;26882;21543;1880;4039;0;5994
2015-01-01 04:30:00.000;23035;22926;26221;26462;21249;1750;4039;0;5994
2015-01-01 05:00:00.000;22784;22664;25356;25618;21043;1750;4039;0;5994
2015-01-01 05:30:00.000;22718;22663;25180;25622;20936;1719;4039;0;5994
2015-01-01 06:00:00.000;23131;23143;25667;26227;21329;1719;4039;0;5994
2015-01-01 06:30:00.000;23452;23424;25944;26446;21655;1880;4039;0;5994
2015-01-01 07:00:00.000;23778;23742;26005;26435;21942;1880;4039;0;5994
2015-01-01 07:30:00.000;23645;23604;25728;26124;21874;1832;4039;0;5994
2015-01-01 08:00:00.000;24064;24079;25912;26320;22278;1832;4039;12;5994
2015-01-01 08:30:00.000;24993;25013;26662;26784;23202;1868;4039;34;5994
2015-01-01 09:00:00.000;26374;26478;27020;27260;24497;1868;4039;77;5994
2015-01-01 09:30:00.000;27831;27940;28446;28597;25810;2048;4039;126;5994
2015-01-01 10:00:00.000;29443;29495;30054;30105;27260;2048;4039;170;5994
2015-01-01 10:30:00.000;30665;30729;31276;31341;28337;2159;4039;187;5994
2015-01-01 11:00:00.000;31879;31945;32490;32557;29381;2159;4039;209;5994
2015-01-01 11:30:00.000;32886;32893;33499;33506;30221;2468;4039;246;5994
2015-01-01 12:00:00.000;33714;33721;34379;34386;30971;2468;4039;243;5994
2015-01-01 12:30:00.000;34146;34114;34808;34776;31305;2522;4039;229;5994
2015-01-01 13:00:00.000;34257;34176;34983;34903;31382;2522;4039;202;5994
2015-01-01 13:30:00.000;34241;34172;34939;34867;31381;2622;4039;178;5994
2015-01-01 14:00:00.000;34236;34175;34946;34887;31407;2622;4039;119;5994
2015-01-01 14:30:00.000;34251;34189;34988;34926;31424;2545;4039;67;5994
2015-01-01 15:00:00.000;34586;34533;35345;35292;31723;2545;4039;32;5994
2015-01-01 15:30:00.000;35246;35292;35912;35959;32380;2677;4039;23;5994
2015-01-01 16:00:00.000;36751;36781;37424;37455;33750;2677;4039;0;5994
2015-01-01 16:30:00.000;38097;38113;38778;38792;35001;2706;4039;0;5994
2015-01-01 17:00:00.000;38710;38647;39477;39415;35626;2706;4039;0;5994
2015-01-01 17:30:00.000;38301;38192;39124;39016;35311;2639;4039;0;5994
2015-01-01 18:00:00.000;37623;37487;38441;38300;34741;2639;4039;0;5994
2015-01-01 18:30:00.000;36780;36687;37560;37467;33910;2762;4039;0;5994
2015-01-01 19:00:00.000;35826;35674;36569;36415;33031;2762;4039;0;5994
2015-01-01 19:30:00.000;35021;34823;35735;35538;32296;2742;4039;0;5994
2015-01-01 20:00:00.000;34128;33998;34842;34711;31412;2742;4039;0;5994
2015-01-01 20:30:00.000;32880;32747;33592;33457;30328;2721;4039;0;5994
2015-01-01 21:00:00.000;31550;31414;32266;32126;29091;2721;4039;0;5994
2015-01-01 21:30:00.000;30329;30218;31042;30930;27949;2791;4039;0;5994
2015-01-01 22:00:00.000;29177;29089;30050;30053;26808;2791;4039;0;5994
2015-01-01 22:30:00.000;28234;28124;29150;29055;25839;2825;4039;0;5994
2015-01-01 23:00:00.000;26495;26400;27379;27309;24189;2825;4039;0;5994
2015-01-01 23:30:00.000;25476;25404;26732;26722;23263;2846;4039;0;5994
2015-01-02 00:00:00.000;25229;25208;26418;26356;23106;2814;4039;0;6000
2015-01-02 00:30:00.000;25340;25319;26575;26537;23271;2804;4039;0;6000
2015-01-02 01:00:00.000;24928;24956;26896;26976;22935;2804;4039;0;6000
2015-01-02 01:30:00.000;24309;24216;26688;26654;22364;2765;4039;0;6000
2015-01-02 02:00:00.000;23677;23652;26604;26615;21790;2765;4039;0;6000
